TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_PRECISION_RADIX;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_CATALOG;CHARACTER_SET_SCHEMA;CHARACTER_SET_NAME;COLLATION_CATALOG;COLLATION_SCHEMA;COLLATION_NAME;DOMAIN_CATALOG;DOMAIN_SCHEMA;DOMAIN_NAME
"StackOverflow";"dbo";"Badges";"Id";"1";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"Badges";"UserId";"2";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"Badges";"Name";"3";"";"NO";"nvarchar";"50";"100";"";"";"";"";"";"";"UNICODE";"";"";"SQL_Latin1_General_CP1_CS_AS";"";"";""
"StackOverflow";"dbo";"Badges";"Date";"4";"";"NO";"datetime";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"Badges";"Class";"5";"";"NO";"tinyint";"";"";"3";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"Badges";"TagBased";"6";"";"NO";"bit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"Id";"1";"";"NO";"smallint";"";"";"5";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"IsUniversal";"2";"";"NO";"bit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"MarkdownMini";"3";"";"NO";"nvarchar";"500";"1000";"";"";"";"";"";"";"UNICODE";"";"";"SQL_Latin1_General_CP1_CS_AS";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"CreationDate";"4";"";"NO";"datetime";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"CreationModeratorId";"5";"";"YES";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"ApprovalDate";"6";"";"YES";"datetime";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"ApprovalModeratorId";"7";"";"YES";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"CloseAsOffTopicReasonTypes";"DeactivationDate";"8";"";"YES";"datetime";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";""
